industry_id,industry_name
3,Computer Hardware Manufacturing
4,Software Development
5,
6,"Technology, Information and Internet"
7,Semiconductor Manufacturing
8,Telecommunications
10,
11,Business Consulting and Services
12,Biotechnology Research
14,Hospitals and Health Care
15,Pharmaceutical Manufacturing
17,Medical Equipment Manufacturing
19,Retail Apparel and Fashion
24,Computers and Electronics Manufacturing
25,Manufacturing
27,Retail
34,Food and Beverage Services
41,Banking
43,Financial Services
44,Real Estate
45,Investment Banking
46,
47,
48,Construction
50,Architecture and Planning
51,Civil Engineering
52,Aviation and Aerospace Component Manufacturing
53,Motor Vehicle Manufacturing
55,Machinery Manufacturing
57,Oil and Gas
69,Education Administration Programs
80,Advertising Services
84,Information Services
86,
91,
94,
96,IT Services and IT Consulting
104,Staffing and Recruiting
109,
112,"Appliances, Electrical, and Electronics Manufacturing"
118,Computer and Network Security
119,
123,
132,E-Learning Providers
135,Industrial Machinery Manufacturing
137,Human Resources Services
143,
146,
147,Automation Machinery Manufacturing
406,
840,Fabricated Metal Products
852,Architectural and Structural Metal Manufacturing
901,
994,Magnetic and Optical Media Manufacturing
1042,
1285,Internet Marketplace Platforms
1445,Online and Mail Order Retail
1594,"Technology, Information and Media"
1696,Loan Brokers
1810,Professional Services
1855,
1862,Marketing Services
1958,
2458,
3102,IT System Custom Software Development
3103,IT System Operations and Maintenance
3106,IT System Data Services
3107,IT System Testing and Evaluation
3127,Social Networking Platforms
3128,
3231,Information Technology & Services
3235,Computer Hardware
3241,
3242,Engineering Services
3247,
3248,
3251,
3259,Energy Technology
1530001,
